personID,label,fullname,years,gender
49508,"Brattle, William","Brattle, William (1706-1776)",1706-1776,Man
269601,"Rosier, Jean-Baptiste François de, Abbé","Rosier, Jean-Baptiste François de, Abbé (1734-1793)",1734-1793,Man
243410,"Bevins (Bivins), James","Bevins (Bivins), James",-,Man
53798,"Hutchinson, Thomas","Hutchinson, Thomas (1711-1780)",1711-1780,Man
337982,"Bedford, Jane Ballareau Parker","Bedford, Jane Ballareau Parker",1746-1831,Woman
268105,"Randall, Robert Richard","Randall, Robert Richard (c.1750-1801)",1750-1801,Man
51904,"Fairfax, Thomas","Fairfax, Thomas (1693-1781)",1693-1781,Man
57140,"Quincy, Josiah, Sr.","Quincy, Josiah, Sr. (1710-1784)",1710-1784,Man
56477,"Palmer, Joseph","Palmer, Joseph (1716-1788)",1716-1788,Man
RN-PER-0083,,,,
316082,"Hunter, James","Hunter, James (c. 1760-1795)",1760-1795,Man
257845,"Johnston, James","Johnston, James (1738-1808, Chatham)",1738-1808,Man
348113,"Davenport, Josiah Franklin","Davenport, Josiah Franklin",1727-,Man
266401,"Potts, Samuel","Potts, Samuel",-,Man
51089,"Dalton, John","Dalton, John (d. 1777)",1702-1777,Man
56778,"Peyton, Craven","Peyton, Craven (d. 1781)",1732-1781,Man
262981,"McPherson, Charles","McPherson, Charles",-,Man
50771,"Cooper, William","Cooper, William (1721-1809, clerk)",1721-1809,Man
251955,"Fry, John","Fry, John",-,Man
51690,"Eden, Robert","Eden, Robert (1741-1784)",1741-1784,Man
58997,"Thruston, Charles Mynn","Thruston, Charles Mynn (1738-1812)",1738-1812,Man
60229,"Wood, James","Wood, James (1741-1813)",1741-1813,Man
52245,"Frazer, John Gizzage","Frazer, John Gizzage (Grizzage)",-,Man
59654,"Washington, John","Washington, John (c.1752-1804)",1752-1804,Man
50361,"Chester, Peter","Chester, Peter (1717-1799)",1717-1799,Man
49982,"Calvert, Benedict","Calvert, Benedict (1722-1788, Benedict Swingate)",1722-1788,Man
96552,"Woodward, Richard","Woodward, Richard (1726-1794)",1726-1794,Man
365466,"Deane, William","Deane, William (d. 1793)",-,Man
53106,"Harris, Ann Eppes","Harris, Ann Eppes (1715-1787)",1715-1787,Woman
300563,"Wister (Wistar), Daniel","Wister (Wistar), Daniel",1738-1805,Man
57946,"Sharp, Granville","Sharp, Granville (1735-1813)",1735-1813,Man
55886,"Morgan, George","Morgan, George (1743-1810)",1743-1810,Man
55632,"Meredith, Reese","Meredith, Reese (1705-1777)",1705-1777,Man
55119,"Magowan, Walter","Magowan, Walter (d. 1784)",-1784,Man
249155,"Dalibard, Thomas François","Dalibard, Thomas François",1703-1799,Man
250962,"Fleming, William","Fleming, William (1736-1824)",1736-1824,Man
RN-PER-0163,,,,
258149,"King, Richard","King, Richard (1718-1775)",1718-1775,Man
240887,"Burbank, Silas, party in No. 2","Burbank, Silas, party in No. 2",-,Man
348109,"Daubenton, Edmé-Louis","Daubenton, Edmé-Louis",1732-1785,Man
50763,"Cooper, Myles","Cooper, Myles (d. 1785)",-1785,Man
55300,"Mather, Samuel","Mather, Samuel (1706-1785)",1706-1785,Man
349958,"Mores, Edward Rowe","Mores, Edward Rowe",1731-1778,Man
310366,"Charlton, Edward","Charlton, Edward (1750-1802)",1750-1802,Man
59513,"Walker, Thomas","Walker, Thomas (c. 1718-1788)",1718-1788,Man
53408,"Hill, Henry","Hill, Henry (1750-1827)",1750-1827,Man
53226,"Hawley, Joseph","Hawley, Joseph (1723-1788)",1723-1788,Man
349767,"Maty, Matthew","Maty, Matthew",1718-1786,Man
278212,"West, John, Sr.","West, John, Sr. (brother of Hugh West, d. 1777)",-,Man
RN-BUS-0053,,,,
59598,"Warren, Mercy Otis","Warren, Mercy Otis (1728-1814)",1728-1814,Woman
129713,"Danforth, Samuel","Danforth, Samuel (1740-1827)",1740-1827,Man
299527,"Cox, John","Cox, John (1754-1847)",1754-1847,Man
338282,"Cuthbert, John A.","Cuthbert, John A. (1760-1826)",1760-1826,Man
348508,"Fevre, Lewis","Fevre, Lewis",1741-1796,Man
257824,"Jackson, Charles","Jackson, Charles (1745-1823, Louisa)",1745-1823,Man
263257,"Macpherson, James","Macpherson, James",-,Man
239342,"Anderson, Edward","Anderson, Edward (d. 1774)",-1774,Man
276962,"Williams, John","Williams, John (1731-1799)",1731-1799,Man
60091,"Willis, Francis, Jr.","Willis, Francis, Jr. (1745-1829)",1745-1829,Man
48567,"Armstrong, John","Armstrong, John (1717-1795)",1717-1795,Man
58813,"Tayloe, John","Tayloe, John (1721-1779)",1721-1779,Man
274259,"Taylor, James","Taylor, James (1738-1808, court clerk)",1738-1808,Man
347685,"Burdett, Peter P.","Burdett, Peter P.",-1793,Man
52541,"Glascock, Thomas","Glascock, Thomas (1733-1775)",1733-1775,Man
240331,"Baskerville, John, printer","Baskerville, John, printer (1706-1775)",1706-1775,Man
50132,"Carroll, Daniel","Carroll, Daniel (1730-1796)",1730-1796,Man
351119,"Wilcox, Charles","Wilcox, Charles",-,Man
