DocumentID,Title,Author,Recipient,Date,Publication,Founders Online,Rotunda,authorIDs,recipientIDs,Location,geonameId,coordinates,latitude,longitude,country_code,country_name,admin1,admin2,hierarchy
FOEA-01-02-02-3485,"From George Washington to Guy Carleton, 16 September 1782","Washington, George","Carleton, Guy",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3485,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3485,59627,51470,Head Quarters,,,,,,,,,
FOEA-01-02-02-3486,"From George Washington to Samuel Carr, 16 September 1782","Washington, George","Carr, Samuel",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3486,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3486,59627,128883,Head Quarters,,,,,,,,,
FOEA-01-02-02-3487,"From George Washington to John Hancock, 16 September 1782","Washington, George","Hancock, John",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3487,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3487,59627,53030,Head Quarters,,,,,,,,,
FOEA-01-02-02-3488,"From George Washington to John Hanson, 16 September 1782","Washington, George","Hanson, John",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3488,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3488,59627,256332,Head Quarters,,,,,,,,,
FOEA-01-02-02-3493,"From George Washington to Benjamin Lincoln, 16 September 1782","Washington, George","Lincoln, Benjamin, Sr.",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3493,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3493,59627,54763,Head Quarters,,,,,,,,,
FOEA-01-02-02-3494,"From George Washington to James Lovell, 16 September 1782","Washington, George","Lovell, James, Sr.",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3494,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3494,59627,54941,Head Quarters,,,,,,,,,
FOEA-01-02-02-3495,"From George Washington to John Mitchell, 16 September 1782","Washington, George","Mitchell, John",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3495,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3495,59627,55749,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3496,"From George Washington to Robert Morris, 16 September 1782","Washington, George","Morris, Robert",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3496,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3496,59627,55950,Head Quarters,,,,,,,,,
FOEA-01-02-02-3497,"From George Washington to John Popkin, 16 September 1782","Washington, George","Popkin, John",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3497,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3497,59627,56957,Head Quarters,,,,,,,,,
FOEA-01-02-02-3500,"From George Washington to Jean-Baptiste Donatien de Vimeur, comte de Rochambeau, 16 September 1782","Washington, George","Rochambeau, Jean-Baptiste Donatien de Vimeur, comte de",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3500,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3500,59627,57499,Head Quarters,,,,,,,,,
